V Mag. (mV),Proper name,Bayer designation,Distance (ly),Spectral class
0.000−26.74,Sun,,0.000015813,G2
0.001−1.46,Sirius,α CMa,0008.6,A1
0.003−0.74,Canopus,α Car,0310,A9
0.004−0.27,Alpha Centauri,α Cen,0004.4,G2
0.005−0.05,Arcturus,α Boo,0037,K2
0.03,Vega,α Lyr,0025,A0
0.08,Capella,α Aur,0043,G8
0.13,Rigel,β Ori,0860,B8
0.34,Procyon,α CMi,0011.4,F5
0.45,Betelgeuse,α Ori,0640[1],M2
0.46,Achernar,α Eri,0144,B3
0.61,Hadar,β Cen,0390,B1
0.76,Altair,α Aql,0017,A7
0.76,Acrux,α Cru,0320,B0.5
0.86,Aldebaran,α Tau,0065,K5
0.96,Antares,α Sco,0600,M1.5
0.97,Spica,α Vir,0260,B1
1.14,Pollux,β Gem,0034,K0
1.16,Fomalhaut,α PsA,0025,A3
1.25,Deneb,α Cyg,"2,600",A2
1.25,Mimosa,β Crucis,0350,B0.5
1.39,Regulus,α Leo,0077,B7
1.50,Adhara,ε CMa,0430,B2
1.62,Shaula,λ Sco,0700,B2
1.62,Castor,α Gem,0052,A1
1.64,Gacrux,γ Cru,0088,M3.5
1.64,Bellatrix,γ Ori,0240,B2
1.65,Elnath,β Tau,0130,B7
1.69,Miaplacidus,β Car,0110,A1
1.69,Alnilam,ε Ori,"2,000",B0
1.72,Gamma Velorum,"γ1,2 Vel","01,100",WC8
1.74,Alnair,α Gru,0101,B7
1.77,Alioth,ε UMa,0081,A1
1.77,Alnitak,ζ Ori,01050,O9.7
1.79,Dubhe,α UMa,0120,G9
1.80,Mirfak,α Per,0590,F5
1.82,Wezen,δ CMa,"1,600",F8
1.84,Sargas,θ Sco,0270,F0
1.85,Kaus Australis,ε Sgr,0140,B9.5
1.86,Avior,ε Car,0630,K3
1.86,Alkaid,η UMa,0104,B3
1.90,Menkalinan,β Aur,081,A1
1.91,Atria,α TrA,0390,K2
1.92,Alhena,γ Gem,0109,A1.5
1.94,Peacock,α Pav,0180,B3
1.96,Alsephina[2],δ Vel,0080,A1
1.98,Mirzam,β CMa,0500,B1
1.98,Polaris,α UMi,0430,F8
2.00,Alphard,α Hya,0180,K3
2.23,Mintaka,δ Ori,01200,O9.5
2.42,Scheat,β Peg,0196,M2.5
2.98,Almaaz,ε Aur,0653,F0
3.35,Rasalgethi,α Her,0360,M5
3.50,Tau Ceti,τ Cet,011.9,G8
3.56,Delta Pavonis,δ Pav,019.92,G8
3.74,Ran,ε Eri,010.48,K2
3.83,V382 Carinae,Car,"08,900",G2
4,Eta Carinae,η Car,"07,500",O
4.07,Delta Cephei,δ Cep,0887,F5
4.08,Mu Cephei,μ Cep,"06,000",M2
4.09,Titawin,υ And,044.25,F8
4.1,Rho Cassiopeiae,ρ Cas,"08,154",G2
4.82,P Cygni,P Cyg,"05,545",B1
4.86,La Superba,CVn,"01,000",C5
4.91,VV Cephei,Cep,"04,900",M2
5.20,61 Cygni,Cyg,011.41,K5
5.4,R Doradus,Dor,0178,M8
5.47,Polaris Australis,Oct,0281,F0
5.71,R Coronae Borealis,Bor,"04,566",G0
5.88,54 Piscium,Psc,036.1,K0
6.57,Mira,ο Ceti,0300,M7
6.65,RW Cephei,Cep,"014,000",K2
6.67,Lacaille 8760,Mic,012.87,M0
6.75,V838 Monocerotis,Mon,"019,896",M6
7.20,HD 140283,Lib,0202,G0IV-V
7.4,II Pegasi,Peg,0130,K2
8.05,VY Canis Majoris,CMa,"03,900",M5
8.3,Pistol Star,Sgr,"025,000",B3
8.6,S Doradus,Dor,"0169,000",B8
8.9,UY Scuti,Sct,"05,100",M4
9.5,Barnard's Star,Oph,05.98,M4
11.13,HE 1523-0901,Lib,"010,000",CEMP-no
11.13,Proxima Centauri,Cen,04.25,M6
11.71,KIC 8462852,Cyg,"01,470",F3
12.23,R136a1,Dor,"0163,000",WN5
12.78,Melnick 42,Dor,"0163,000",O2
14.10,WR 102,Sag,"018,134",WO2
14.38,VFTS 352,Dor,"0164,000",O5
14.68,YBP 1194,Cnc,"02,772",G5
14.71,Gliese 1214,Oph,047.5,M4.5
16.20,Luhman 16,Vel,06.50,L7
16.6,NML Cygni,Cyg,"05,251",M6
17.30,VB 10,Aql,018.72,M8
18.46,WOH G64,Dor,"0163,000",M5
18.80,TRAPPIST-1,Aqr,039.6,M8
21.05,2MASS J0523-1403,Lep,040.3,L2.5
25,WISE 0855−0714,Hya,07.27,Y2
28.4,Icarus,Leo,"014,400,000,000",B?
