Brown dwarf,Constellation,Right ascension,Declination,App. mag.,Distance (ly),Spectral Type,Mass (MJ),Radius (RJ),Discovery Year
SDSS J000013.54+255418.6[de],Pegasus,0h0m13.54s,25° 54′ 18″,,46.1,T4.5,0.045820224,0.10173536999999999,2004
2MASS J00040288-6410358,Tucana,0h4m2.88s,−64° 10′ 35.8″,,192,L1γ,0.018137172,0.16750368999999998,
2MASS J00242463-0158201,Pisces,0h24m24.63s,−1° 58′ 20.1″,,37.7,M9.5,0.075412452,0.11201167000000001,
2MASS J00274197+0503417,Pisces,0h27m41.97s,5° 3′ 41.7″,,236,M9.5β,0.029592228,0.14797871999999998,
2MASS 0036+1821,Pisces,0h36m16.17s,18° 21′ 10.4″,12.47,28.6,L3.5,0.040092696000000004,0.09659721999999998,2000
2MASSI J0103320+193536,Pisces,1h3m32.03s,19° ′ 35″,,70,L6β,0.049638576000000004,0.10070773999999999,
SDSSp J010752.33+004156.1[de],Cetus,1h7m52.42s,−0° 41′ 56.3″,,51,L8,0.049638576000000004,0.10070773999999999,
2MASSI J0117474-340325[de],Sculptor,1h17m47.48s,−34° 3′ 25.8″,,163,L2:,0.01909176,0.16647606,
2MASS J01415823-4633574[de],Phoenix,1h41m58.23s,−46° 33′ 57.4″,,130,L0γ,0.01909176,0.16544843,
SDSS J015141.69+124429.6,,1h51m41.55s,12° 44′ 30″,,70,T1,0.044865636,0.09968010999999999,
2MASS J02431371−2453298,Fornax,2h43m13.71s,−24° 53′ 29.8″,,35,T6,0.031501404000000004,0.10173536999999999,2002
DEN 0255-4700,Eridanus,2h55m3.57s,−47° 0′ 50.9″,22.92,16.2,L8,0.07636704,0.09968010999999999,2006
2MASS J03185403-3421292[de],Fornax,3h18m54.03s,−34° 21′ 29.2″,,45,L7,0.046774812,0.09968010999999999,2008
2MASS J03264225-2102057[de],Eridanus,3h26m42.25s,−21° 2′ 5.7″,,80,L5γ,0.017182584,0.13359189999999999,2003
2MASS J03284265+2302051[de],Taurus,3h28m42.65s,23° 2′ 5.1″,,98,L8,0.051547752,0.10070773999999999,2000
2MASP J0345432+254023,,3h45m43.16s,25° 40′ 23.3″,,88,L0,0.070639512,0.10790115,1997
Teide 1,Taurus,3h47m18s,+24° 22′ 31″,,380,M8,0.05250234,0.38844413999999994,1995
2MASS J03552337+1133437,Taurus,3h55m23.37s,11° 33′ 43.7″,14.05,29.8,L5γ,0.01909176,0.13564716,2006
2MASS J04151954−0935066,Eridanus,4h15m19.54s,−9° 35′ 6.6″,15.7,18.6,T8,0.028637640000000002,0.09762484999999999,2002
2MASS J04285096-2253227[de],Eridanus,4h28m50.96s,−22° 53′ 22.7″,,85,L0.5,0.07636704,0.11201167000000001,2003
2MASS J04390101-2353083[de],Eridanus,4h39m1.01s,−23° 53′ 8.3″,,29.5,L6.5,0.045820224,0.09968010999999999,2003
2MASS J04455387-3048204[de],Caelum,4h45m53.87s,−30° 48′ 20.4″,,42,L2,0.061093632,0.102763,2003
2MASS J04510093-3402150[de],Caelum,4h51m0.93s,−34° 2′ 15″,,69,L0.5,0.068730336,0.10687352,2003
2MASS J05002100+0330501[de],Orion,5h0m21s,3° 30′ 50.1″,,44,L4,0.061093632,0.102763,2008
2MASS J05012406-0010452[de],Orion,5h1m24.06s,−0° 10′ 45.2″,,64,L4γ,0.020046348000000002,0.14181293999999997,2008
2MASS J05160945-0445499[de],Orion,5h16m9.45s,−4° 45′ 49.9″,,73,T5.5,0.044865636,0.09968010999999999,2003
LSR 0602+3910[de],Auriga,6h2m30.45s,39° 10′ 59.2″,20.88,34.6,L1β,0.026728464,0.14489582999999998,2003
2MASS J06244595-4521548[de],Puppis,6h24m45.95s,−45° 21′ 54.8″,,39,L5,0.053456928,0.10173536999999999,2008
2MASS J06411840-4322329[de],Puppis,6h41m18.4s,−43° 22′ 32.9″,,65,L1.5,0.063957396,0.10379063,2008
DENIS-P J0652197-253450[de],Canis Major,6h52m19.77s,−25° 34′ 50.5″,,51,L0,0.07159410000000001,0.10790115,2008
UGPS J072227.51-054031.2,Monoceros,7h22m27.6s,−05° 40′ 38.4″,,13.4,T9,0.024819288000000002,0.10070773999999999,2010
2MASSI J0727182+171001[de],Gemini,7h27m18.24s,17° 10′ 1.2″,,29.6,T7,0.039138108,0.09659721999999998,2002
2MASS J07290002-3954043[de],Puppis,7h29m0.02s,−39° 54′ 4.4″,,25.8,T8 pec,0.035319756,0.09659721999999998,2007
SDSS J074201.41+205520.5[de],Gemini,7h42m1.3s,20° 55′ 19.8″,,49,T5,0.041047284,0.09659721999999998,2004
DENIS-P J0751164-253043[de],Puppis,7h51m16.45s,−25° 30′ 43.2″,,55,L2.5,0.067775748,0.10584589,2008
2MASS J07522390+1612157,,7h52m23.9s,16° 12′ 15.7″,,60,M7βγ,0.064911984,0.20655362999999996,
DENIS J081730.0-615520,Carina,8h17m30.01s,−61° 55′ 15.8″,13.6,16.1,T6,0.042001872,0.09659721999999998,2010
2MASS J08251968+2115521[de],Cancer,8h25m19.68s,21° 15′ 52.1″,,35,L7.5,0.049638576000000004,0.10070773999999999,2000
SDSSp J083008.12+482847.4[de],Lynx,8h30m8.25s,48° 28′ 48.2″,,43,L8,0.045820224,0.10173536999999999,2002
LHS 2021,,8h30m32.56s,9° 47′ 15.4″,,55,M6.5,0.084003744,0.11817744999999999,
SDSS J083048.80+012831.1[de],Hydra,8h30m48.78s,1° 28′ 31.1″,,77,T4.5,0.043911048,0.09865247999999999,2004
2MASSI J0835425-081923[de],Hydra,8h35m42.56s,−8° 19′ 23.7″,,23.53,L5,0.059184456,0.102763,2003
2MASSI J0847287-153237[de],Hydra,8h47m28.72s,−15° 32′ 37.2″,,43,L2,0.061093632,0.102763,2003
