V Mag. (mV),Proper name,Bayer designation,Distance (ly),Spectral class,Brown dwarf,Constellation,Right ascension,Declination,App. mag.,Spectral Type,Mass (MJ),Radius (RJ),Discovery Year
,,,55,,LHS 2021,,8h30m32.56s,9° 47′ 15.4″,,M6.5,0.084003744,0.11817744999999999,
,,,16.2,,DEN 0255-4700,Eridanus,2h55m3.57s,−47° 0′ 50.9″,22.92,L8,0.07636704,0.09968010999999999,2006
,,,85,,2MASS J04285096-2253227[de],Eridanus,4h28m50.96s,−22° 53′ 22.7″,,L0.5,0.07636704,0.11201167000000001,2003
,,,37.7,,2MASS J00242463-0158201,Pisces,0h24m24.63s,−1° 58′ 20.1″,,M9.5,0.075412452,0.11201167000000001,
,,,18.5,,LSR J1835+3259,Lyra,18h35m37.9s,32° 59′ 54.5″,18.27,M8.5,0.073503276,0.10995641,2003
,,,27.6,,2MASS J08533619-0329321,,8h53m36.19s,−3° 29′ 32.1″,,M9,0.073503276,0.10995641,
,,,38.5,,LHS 2924,Boötes,14h28m43.23s,+33° 10′ 39.1″,19.74,M9V,0.072548688,0.10892878,
,,,51,,DENIS-P J0652197-253450[de],Canis Major,6h52m19.77s,−25° 34′ 50.5″,,L0,0.07159410000000001,0.10790115,2008
,,,88,,2MASP J0345432+254023,,3h45m43.16s,25° 40′ 23.3″,,L0,0.070639512,0.10790115,1997
,,,60,,LSPM J1658+7027[de],Draco,16h58m3.8s,70° 27′ 1.5″,19,L1,0.069684924,0.10687352,2000
,,,69,,2MASS J04510093-3402150[de],Caelum,4h51m0.93s,−34° 2′ 15″,,L0.5,0.068730336,0.10687352,2003
,,,44,,2MASSW J1555157-095605[de],Libra,15h55m15.73s,−9° 56′ 5.5″,13,L1,0.067775748,0.10584589,2002
,,,110,,2MASS J16262034+3925190[de],Hercules,16h26m20.34s,39° 25′ 19″,14.44,L4sd,0.067775748,0.10584589,2004
,,,55,,DENIS-P J0751164-253043[de],Puppis,7h51m16.45s,−25° 30′ 43.2″,,L2.5,0.067775748,0.10584589,2008
,,,46,,2MASSW J1506544+132106[de],Boötes,15h6m54.41s,13° 21′ 6″,13,L3,0.065866572,0.10481826,2000
,,,60,,2MASS J07522390+1612157,,7h52m23.9s,16° 12′ 15.7″,,M7βγ,0.064911984,0.20655362999999996,
,,,65,,2MASS J06411840-4322329[de],Puppis,6h41m18.4s,−43° 22′ 32.9″,,L1.5,0.063957396,0.10379063,2008
